t,skew,phase,vpp,filt,avg,amp,rms
1759793152.14551,9.3606,336.98,0.582292,0.63047,0.49375,0.291771,0.06913498
1759793152.2325864,-0.6301,337.317,0.585417,0.63607,0.482109,0.306016,0.06913498
1759793152.363532,9.3855,337.878,0.616667,0.65026,0.49013,0.297396,0.06944317
1759793152.542412,-0.605,337.878,0.725,0.68477,0.482813,0.279766,0.06919517
1759793152.7292075,-0.605,338.221,0.725,0.68477,0.489844,0.311953,0.06942406
1759793152.9167047,9.4055,338.599,0.580208,0.62878,0.483672,0.292448,0.06909114
1759793153.0903609,-0.5902999999999999,338.752,0.571875,0.62643,0.483672,0.285495,0.0693037
1759793153.178905,9.4205,339.141,0.577083,0.62852,0.489896,0.285495,0.0693037
1759793153.318579,-0.5701,339.477,0.583333,0.63672,0.482578,0.291198,0.06898838
1759793153.50084,9.4405,339.858,0.58125,0.63008,0.488646,0.285599,0.06920805
1759793153.7039268,9.4405,339.858,0.56875,0.62852,0.483854,0.292682,0.0689046
1759793153.8799121,9.4655,340.758,0.592708,0.63516,0.48724,0.299297,0.06914075
1759793155.0112245,-0.825,330.299,0.564583,0.6237,0.480078,0.252448,0.06881843
1759793156.1350005,9.0706,326.54,0.569792,0.62083,0.477865,0.292344,0.06838686
1759793156.3173397,9.0706,326.54,0.569792,0.62083,0.482891,0.265651,0.06812313
1759793156.4984612,-0.9251,326.696,0.563542,0.61979,0.482891,0.266172,0.0683875
1759793156.5805092,9.0875,327.152,0.571875,0.62526,0.479063,0.266172,0.0683875
1759793156.7100332,-0.9051,327.41700000000003,0.563542,0.62044,0.482474,0.285,0.06811805
1759793156.8867657,-0.9051,327.41700000000003,0.561458,0.62227,0.478333,0.265703,0.06834222
1759793157.0677044,9.108500000000001,327.867,0.561458,0.62227,0.478333,0.285104,0.06808595
1759793157.2389808,-0.885,328.139,0.641667,0.65547,0.482396,0.269557,0.06789231
1759793157.3286147,-0.875,328.499,0.572917,0.62669,0.489948,0.269557,0.06789231
1759793157.4605596,9.1355,328.878,0.573958,0.63151,0.478516,0.285911,0.06817708
1759793157.648422,9.1355,328.878,0.569792,0.62578,0.485417,0.278698,0.06792572
1759793157.8259645,-0.8501,329.397,0.567708,0.61367,0.492214,0.271719,0.06764181
1759793158.0010514,-0.8501,329.397,0.567708,0.65065,0.48099,0.264375,0.06788929
1759793158.191174,9.1705,330.138,0.638542,0.65065,0.48099,0.272031,0.06765833
